Academic Year,District ID,District,School ID,School,Subject,Student Group,Grade Level,Number Proficient,Percent Proficient (Level 3 or 4),Number Level 4,Percent Level 4,Number Level 3,Percent Level 3,Number Level 2,Percent Level 2,Number Level 1,Percent Level 1,Number of Participants,Participation Rate
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,American Indian/Alaskan Native,Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,American Indian/Alaskan Native,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,Asian,Grade 8,--,--,--,--,--,--,--,--,--,--,1,100.0
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,Hispanic/Latino,Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,Hispanic/Latino,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,Multi-Racial,Grade 7,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,Multi-Racial,Grade 8,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,Total Population (All Students),Grade 7,36,48.0,9,12.0,27,36.0,17,22.7,22,29.3,75,64.1
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,Total Population (All Students),Grade 8,59,62.1,18,18.9,41,43.2,19,20.0,17,17.9,96,74.4
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,White,Grade 7,30,46.2,7,10.8,23,35.4,16,24.6,19,29.2,65,62.5
2021-2022,1894,Baker SD 5J,1,Baker Middle School,English Language Arts,White,Grade 8,53,63.9,16,19.3,37,44.6,17,20.5,13,15.7,83,74.1
2021-2022,1894,Baker SD 5J,2,Brooklyn Primary School,English Language Arts,Asian,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,2,Brooklyn Primary School,English Language Arts,Hispanic/Latino,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,2,Brooklyn Primary School,English Language Arts,Multi-Racial,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,2,Brooklyn Primary School,English Language Arts,Total Population (All Students),Grade 3,21,32.3,13,20.0,8,12.3,20,30.8,24,36.9,66,84.6
2021-2022,1894,Baker SD 5J,2,Brooklyn Primary School,English Language Arts,White,Grade 3,20,39.2,12,23.5,8,15.7,14,27.5,17,33.3,51,82.3
2021-2022,1894,Baker SD 5J,4,Haines Elementary School,English Language Arts,Asian,Grade 6,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,4,Haines Elementary School,English Language Arts,Hispanic/Latino,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,4,Haines Elementary School,English Language Arts,Hispanic/Latino,Grade 4,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,4,Haines Elementary School,English Language Arts,Hispanic/Latino,Grade 5,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,4,Haines Elementary School,English Language Arts,Multi-Racial,Grade 3,*,*,*,*,*,*,*,*,*,*,*,*
2021-2022,1894,Baker SD 5J,4,Haines Elementary School,English Language Arts,Total Population (All Students),Grade 3,8,47.1,5,29.4,3,17.6,7,41.2,2,11.8,17,100.0
